Quận 1,10.7756587,106.7004238
Quận 12,10.8671531,106.6413322
Quận Gò Vấp,10.8386779,106.6652904
Quận Bình Thạnh,10.8105831,106.7091422
Quận Tân Bình,10.8014659,106.6525974
Quận Tân Phú,10.7900517,106.6281901
Quận Phú Nhuận,10.7991944,106.6802639
Thành phố Thủ Đức,10.8494094,106.7537055
Quận 3,10.7843695,106.6844089
Quận 10,10.7745965,106.6679542
Quận 11,10.7629739,106.650084
Quận 4,10.7578263,106.7012968
Quận 5,10.7540279,106.6633746
Quận 6,10.7480929,106.6352362
Quận 8,10.7240878,106.6286259
Quận Bình Tân,10.7652581,106.6038535
Quận 7,10.7340344,106.7215787
Huyện Củ Chi,11.0066683,106.5131967
Huyện Hóc Môn,10.8839675,106.5870611
Huyện Bình Chánh,10.687392,106.5938538
Huyện Nhà Bè,10.6952642,106.704874
Huyện Cần Giờ,10.5083266,106.8635004
